npsn,nama_sekolah,jenis,status,alamat,kelurahan,kecamatan,lintang,bujur
69963748,SMA IT Nurul Falah,SMA,SWASTA,Jl. WA. Rahman Parendoan1 RT 006 Lk 03,BATU PUTU,Teluk Betung Barat,-5.431700000000,105.197400000000
70049033,SMA JANNATUN NAIM INTERNATIONAL COLLEGE,SMA,SWASTA,JL. Wan Abdulrahman No.13,BATU PUTU,Teluk Betung Barat,-5.435100000000,105.228800000000
10807027,SMAS BODHISATTVA,SMA,SWASTA,JL. DR. SETIA BUDI NO. 7/8,Kuripan,Teluk Betung Barat,-5.450900000000,105.254300000000
10807069,SMAN 8 BANDAR LAMPUNG,SMA,NEGERI,JL.LAKS MALAHAYATI NO. 10,Talang,Teluk Betung Selatan,-5.449200000000,105.257800000000
10807033,SMAS ISLAMIYAH,SMA,SWASTA,JL. LAKS  MALAHAYATI NO. 50,Pesawahan,Teluk Betung Selatan,-5.447600000000,105.268600000000
10809706,SMAN 17 BANDAR LAMPUNG,SMA,NEGERI,JL.SOEKARNO HATTA,Pidada,Panjang,-5.463400000000,105.324900000000
10807067,SMAN 6 BANDAR LAMPUNG,SMA,NEGERI,JL. KH. AGUS ANANG NO. 35,KETAPANG,Panjang,-5.438700000000,105.296400000000
10807018,SMAS YPPL PANJANG,SMA,SWASTA,JL. KP. BARUNARIA,Karang Maritim,Panjang,-5.466100000000,105.322200000000
10807019,SMAS BPK PENABUR,SMA,SWASTA,Jl. Perintis Kemerdekaan No. 7,Kota Baru,Tanjung Karang Timur,-5.418200000000,105.270100000000
10807037,SMAS NUSANTARA BANDARLAMPUNG,SMA,SWASTA,JL. GELATIK TJ. AGUNG NO. 16,Tanjung Agung,Tanjung Karang Timur,-5.414300000000,105.264800000000
10807005,SMAS UTAMA 1,SMA,SWASTA,JL. DR. HARUN KOTABARU,Kota Baru,Tanjung Karang Timur,-5.416400000000,105.273000000000
70050893,SMA STELLA GRACIA,SMA,SWASTA,JL. Kh. Ahmad Dahlan No. 99,Kupang Teba,Teluk Betung Utara,-5.439500000000,105.265400000000
